slug	direct	with_descendants	parent	alias_of	description
gives-castable-from-graveyard	115	156	recursion		Allows you to play other cards from the graveyard.
copy-sorcery	155	155	copy		
shrink	108	155			Nerf a creature's power, temporarily or otherwise. Not to be confused with [humble](humble).
cheat-death-self	127	154	cheat-death		Cards that return themselves to the battlefield or to your hand at the moment they die.
gives-double-strike	154	154			
hate-black	153	154	hate-color		
scales-with-damage-dealt	72	154			Effects that scale with how much damage a creature deals.
synergy-artifact-creature	154	154			
thoughtseize	154	154	peek-hand		Opponent reveals their hand, and you choose a card for them to discard.
counter-fuel-aesthetic	128	153	counter-fuel		These cards remove counters with no rules meaning as fuel.
restricted-blocker	117	152	drawback		Cards that can block, but only in specific circumstances.
uninspired	152	152			Effects that trigger when something becomes tapped. For cards that care about tapped permanents, see [synergy-tapped](synergy-tapped) and [tapped matters-self](tapped-matters-self).
gains-trample	151	151			
reanimate-cast	151	151	reanimate		Cast a permanent spell from a graveyard.
unique-counter	151	151			These cards use a type of counter no other card does.
removal-fight	147	150	burn-creature		
removal-tuck	149	149	tuck		
tutored-by-name	118	149			These cards are tutored by another specifically by their name. For the cards that tutor them, see [tutors by name](tutors-by-name).
reanimate-from-opponent	50	147	reanimate		Cards that specifically have the ability to reanimate cards opponents have, if not any card
cda-color	146	146	characteristic-defining-ability		
multi-character-card	97	146			This card represents multiple distinct identifiable characters on one face. Avoid using this for nameless mobs.
portmanteau	145	145	card-names		Cards named with a portmanteau—a word that's a combination of two words.
trigger-from-graveyard	145	145	triggered-ability		Abilities that trigger from inside the graveyard.
tutors-by-name	82	144	tutor		These cards tutor other cards by their name. For their tutor targets, see [tutored by name](tutored-by-name).
gains-indestructible	142	142			
typal-dragon	142	142	typal-creature		
undergrowth	118	142	cards-in-graveyard-matter		Cards that care about the number of creature cards in your graveyard.
counterspell-soft	137	141	counterspell		A "soft counterspell" gives the other player a chance to buy off the counter, such as with a mana payment.
hate-regenerate	141	141	hate		
keyword-counter	0	140			A collection of all the keyword counters referenced by cards.
token-versions-of-cards	0	140			Some cards create tokens identical to existing cards (except for CMC). See: [cards creating these tokens](/tags/card/creates-token-of-a-card),  [printed tokens](/tags/card/token-version-of-a-card), and [the cards recreated in token form](/tags/card/has-identical-token).
unprinted-token	140	140			Cards whose tokens haven't yet been printed in paper.
energy-generator	125	139			Cards that in some way give you energy counters.
force-blocker	36	139	combat-manipulation		
impulse-to-zone	0	139	impulse		
typal-elf	138	139	typal-creature		
affinity	0	138	discount-self		Affinity is an ability that reduces the mana cost of the spell by the number of permanents of a specified type that the player controls. Variations of this ability exist, such as referencing the number of cards in the players' graveyard or the number of attacking creatures.
heroic	137	138	synergy-target		Whenever you cast a spell targeting your permanent, something good happens.
humble	136	138			Nerf a creature's stats and/or abilities as a form of removal. See also [shapechange](/tags/card/shapechange), [swap removal](swap-removal) and [deanimate](deanimate).
real-life-animal-name	138	138	card-names		Card names that match real world english animal names. "Manta ray" is accepted, while "Hurr jackal" is not. Adjectives can disqualify a card unless it is a part of their name. "Giant ladybug" is a species name and therefore accepted, while "Venomous dragonfly" is not.
repeatable-rummage	119	138	rummage		
tapper-artifact	69	138	tapper		
gives-tap-ability	134	137	tap-outlet		
hate-discard	137	137	hate		Your opponent had better think twice before targeting you with that [Mind Rot](https://tagger.scryfall.com/card/ori/281)!
repeatable-plunder	137	137	repeatable-sacrifice-outlet		
giant-growth-with-set-mechanic	136	136	staple-with-set-s-mechanic		
bombard-self	134	134	sacrifice-self		Sacrifice this permanent to deal N damage. See also [fling-self](/tags/card/fling-self), [bombard](bombard).
swap-removal	134	134			Sorry I messed up your stuff. Here's a thing in exchange. (See also [humble](/tags/card/humble).)
threaten	82	134	theft		Gain control of a permanent until end of turn. For continuous theft see [theft-creature](/tags/card/theft-creature).
consult-cast	133	133	consult		Consult effects that let you cast the card you find.
remove-counters-player	9	133	remove-counters		Remove counters from players.
sacrifice-outlet-enchantment	62	133	sacrifice-outlet		
burn-player-each	132	132	group-slug		
hate-red	131	132	hate-color		
morbid	132	132			Effects that care about at least one creature dying this turn.
poisonous	131	131	poison-mechanics		Makes, or is, a creature that poisons a player when it hits them.
typal-goblin	113	131	typal-creature		
typal-spirit	131	131	typal-creature		
meme	130	130			Cards that have become memes in Magic, or are explicitly based off of memes.
synergy-vehicle	126	130			
typal-wizard	80	130	typal-creature		
combat-neutral-damage-trigger	129	129	triggered-ability		Creature abilities that trigger upon dealing any amount of damage, no matter if it was done in combat or not. Compare and contrast [saboteur](saboteur).
enrage	72	129			An effect that triggers when the creature (or attached/enchanted creature) takes damage.
roll-d6	127	129	dice-roll		🎲
40k-model	128	128			Cards named after and representing a Warhammer 40,000 model.
cast-trigger-other	127	127	cast-trigger		
gives-protection	127	127	protection		
land-count-matters	127	127	lands-matter		
protects-planeswalker	101	127	protection		
synergy-forest	119	127			
untapper-artifact	51	127	untapper		
typal-zombie	126	126	typal-creature		
deanimate-self	125	125	type-change		Creatures that can stop being creatures. For noncreatures that may become creatures, see [animate self](animate-self).
single-minded-color-hate	66	125	single-minded-hate		Cards that hate on a specific color (or colors), and do nothing else if that color isn't present.
card-types-matter	14	124			
counter-fuel-energy	124	124	counter-fuel		
exile-on-resolution	113	124	exile-self		Cards that exile themselves once they've finished all their effects. Commonly seen on extra turn cards.
ferocious	124	124	power-matters-individual		Cards that care about you controlling creatures with power 4 or greater.
impulse-onto-battlefield	124	124	sneak-from-library		
typal-sliver	124	124	typal-creature		
typal-warrior	56	124	typal-creature		
discarded-type-matters	110	123			The type of card you discard matters for some effect.
your-sacrifice-matters	122	122	sacrifice-matters		Effects that reward you for sacrificing your own permanents. Contrast [opponent sacrifice matters](opponent-sacrifice-matters).
exponential	121	121			Effects that involve some amount of exponential growth. This can be an exponential value, or a token creation effect that would be exponential if allowed to progress unhindered. See [quadratic](quadratic) for a different, but similar kind of effect.
rescue-land	66	121	rescue		Bounce a land you control back to your hand.
charm	57	120	modal		Modal spells where you pick one option out of three
hate-white	117	119	hate-color		
rainbow-land	118	118			A land that can net one or more mana of any color.
color-spent-matters	66	117	mana-spent-matters		Spells and abilities that care about the color(s) of mana spent on them.
flowstone	106	116			Abilities that grant +N/-N and/or -N/+N
long-term-impulsive-draw	116	116	impulsive-draw		Impulsive draw effects that let you play the exiled cards beyond this turn, letting you untap and have access to your full resources.
synergy-flying	116	116			
bombard	115	115	sacrifice-outlet		Sacrifice something else to deal N damage. See also [fling](/tags/card/fling), [bombard-self](bombard-self).
nightveil-theft	115	115			Cards that effectively "draw" from your opponent's library by exiling their cards and letting you play them.
restricted-attacker	115	115	drawback		Cards that can only attack in specific circumstances.
